team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
7,22,5,1,36,2,10,1,0,0,-301,0
12,51,2,6,24,3,10,1,0,0,-43,1
9,37,2,3,31,0,34,1,0,1,286,0
11,37,2,4,47,0,34,1,0,1,121,0
7,44,4,12,33,2,21,1,0,0,-452,0
1,45,2,6,33,2,10,1,0,1,-194,1
11,44,2,9,32,3,21,1,0,0,-305,1
4,43,1,6,39,4,25,-1,1,1,-487,1
12,36,2,9,49,2,1,2,2,1,18,0
3,46,1,1,38,1,24,2,2,0,-153,0
11,47,2,7,36,2,2,1,2,0,129,0
1,50,0,6,50,0,7,1,1,0,-194,1
3,46,2,4,49,0,24,2,1,0,140,0
9,50,1,7,64,1,1,2,1,0,434,1
3,29,2,6,52,0,24,2,1,1,-347,0
12,38,2,4,46,1,19,-1,1,0,444,1
11,50,1,1,37,3,7,1,2,0,-172,1
12,64,1,7,34,3,2,1,2,0,452,1
3,52,1,11,44,3,24,2,1,0,19,0
9,42,1,4,38,1,1,2,1,0,426,0
12,49,2,6,55,0,19,-1,2,0,-43,0
7,31,1,1,45,0,2,1,2,1,-301,0
11,43,1,9,38,1,3,1,1,1,-305,0
1,42,0,4,48,2,25,-1,2,1,293,0
7,34,1,3,46,2,2,1,1,0,-148,1
11,55,0,12,86,1,3,1,1,0,-323,0
9,37,2,6,45,0,19,-1,2,0,-61,0
1,52,1,3,34,2,7,1,1,0,153,1
4,39,2,7,17,1,25,-1,1,1,8,0
11,41,2,6,30,1,3,1,1,1,-366,0
9,42,0,1,47,3,7,1,2,1,133,1
3,55,1,12,66,0,24,2,1,0,-304,0
7,25,2,11,51,0,3,1,2,1,-129,0
4,35,1,6,52,0,18,1,2,0,-487,0
12,48,1,9,62,0,17,1,1,0,18,0
6,45,2,7,36,1,18,1,1,0,495,1
4,60,1,11,64,0,25,-1,1,0,-121,0
9,65,0,3,47,1,1,2,1,0,286,1
12,53,1,1,44,1,17,1,2,0,151,1
7,34,3,4,64,1,2,1,1,0,-8,0
11,49,1,6,49,1,18,1,2,0,-366,0
3,44,3,12,48,2,17,1,2,0,-304,0
1,35,1,9,71,3,1,2,2,0,-133,0
6,55,1,12,46,2,18,1,1,0,43,1
9,53,0,4,60,0,11,1,1,0,426,0
12,70,0,4,100,2,1,2,0,0,444,1
12,32,2,6,59,1,2,1,0,0,-43,0
9,37,3,6,38,1,18,1,2,0,-888,0
4,59,2,3,40,3,32,-2,1,0,-1112,1
1,35,3,12,51,3,4,-2,2,0,-35,1
4,49,0,11,46,2,32,-2,1,1,-1034,1
6,53,0,7,41,1,18,1,1,0,480,0
3,51,1,1,42,1,24,2,2,0,62,0
12,57,0,9,17,3,1,2,2,0,900,1
7,47,1,11,65,0,2,1,1,0,-441,0
9,31,2,1,42,1,7,1,2,1,-865,0
4,69,4,6,38,1,18,1,2,0,-1073,0
12,41,1,3,47,1,4,-2,1,1,-27,0
11,35,3,1,36,0,14,-2,2,0,-16,0
9,31,3,4,90,0,1,2,1,1,185,0
3,40,1,11,50,0,14,-2,2,1,78,1
12,48,3,6,53,2,4,-2,1,0,12,0
4,39,2,1,47,0,7,1,2,1,-1050,0
9,48,1,7,33,1,2,1,2,0,-408,1
3,34,2,6,48,2,24,2,1,0,39,0
1,43,3,12,40,3,7,1,1,0,-35,0
11,43,0,6,49,2,14,-2,1,0,-39,1
4,45,1,7,38,2,2,1,2,0,-593,1
3,45,1,9,48,2,24,2,1,0,927,1
1,48,2,7,49,1,7,1,1,0,457,0
9,46,0,11,52,2,1,2,1,1,-849,1
4,54,1,12,39,2,32,-2,1,1,-1085,1
3,38,2,7,50,0,24,2,1,0,519,0
11,56,2,12,36,2,17,1,2,0,-51,1
6,50,1,3,36,0,18,1,1,1,-39,1
4,53,1,6,41,2,32,-2,1,0,-1073,1
12,27,4,3,55,0,24,2,2,0,-27,0
9,47,1,1,62,1,1,2,2,0,-865,1
6,61,1,7,54,2,2,1,2,0,480,0
11,76,0,4,45,2,3,1,1,0,1034,1
